season,source_url,source_schema,player,team,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,kda_ratio,kill_participation,average_kills,average_deaths,average_assists,average_kda,average_damage_gold,average_teamfight,total_hero_used
5,https://ph-mpl.com/s5/data,official_data_page,DEX STAR,BLCK,17,0.85,35,1.75,124,6.2,4.03,6%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,KIL LER,BLCK,28,1.12,62,2.48,82,3.28,1.77,16%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Aqua,BLCK,103,4.12,41,1.64,103,4.12,5.02,34%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,EDWARD,BLCK,47,1.88,56,2.24,139,5.56,3.32,15%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,HONDA BEAST,BLCK,7,0.70,18,1.8,67,6.7,4.11,4%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Riddler,BLCK,55,2.75,41,2.05,73,3.65,3.12,30%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,OhMyV33NUS,BLCK,95,2.64,66,1.83,277,7.69,5.64,15%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Wise,BLCK,85,4.25,35,1.75,94,4.7,5.11,29%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Hadjizy,BLCK,132,5.28,32,1.28,127,5.08,8.09,43%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Yuji,BREN,19,1.36,31,2.21,43,3.07,2.0,27%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,YellyHaze,BREN,36,1.44,56,2.24,183,7.32,3.91,7%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Ribo,BREN,74,2.64,53,1.89,221,7.89,5.57,17%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Coco,BREN,38,1.36,72,2.57,145,5.18,2.54,9%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Pheww,BREN,68,2.43,75,2.68,161,5.75,3.05,17%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,KarlTzy,BREN,186,6.64,44,1.57,130,4.64,7.18,48%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Lusty,BREN,45,1.61,58,2.07,201,7.18,4.24,10%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Kap Wan,BSB,9,0.50,54,3.0,100,5.56,2.02,3%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Trebor,BSB,33,1.43,76,3.3,115,5.0,1.95,14%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Wilson,BSB,51,2.22,66,2.87,80,3.48,1.98,26%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Shaider,BSB,43,1.87,67,2.91,86,3.74,1.93,21%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Sman,BSB,11,1.83,12,2.0,35,5.83,3.83,13%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Jeraxnu,BSB,71,3.23,37,1.68,81,3.68,4.11,35%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,E2MAX,EXE,48,2.53,66,3.47,135,7.11,2.77,12%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Bennyqt,EXE,78,2.69,48,1.66,146,5.03,4.67,23%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Ch4knu,EXE,32,1.10,70,2.41,221,7.62,3.61,5%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,S4gitnu,EXE,34,1.79,60,3.16,39,2.05,1.22,24%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Hatred,EXE,171,5.90,59,2.03,102,3.52,4.63,44%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Z4pnu,EXE,53,1.96,78,2.89,128,4.74,2.32,17%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Cyre,EXE,8,0.67,30,2.5,71,5.92,2.63,4%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Lard,EXE,7,0.88,19,2.38,25,3.12,1.68,4%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Renzio,EXE,-,-,2,2.0,2,2.0,1.0,-,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Kielvj,EXE,112,3.73,56,1.87,160,5.33,4.86,27%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Ynot,GEEK,16,0.94,65,3.82,61,3.59,1.18,13%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,KurtTzy,GEEK,42,2.47,48,2.82,46,2.71,1.83,24%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Cktd,GEEK,22,1.16,43,2.26,59,3.11,1.88,9%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Exort,GEEK,36,1.89,58,3.05,59,3.11,1.64,24%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Jieo,GEEK,5,1.25,18,4.5,5,1.25,0.56,20%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Dokmen,GEEK,17,0.94,76,4.22,61,3.39,1.03,14%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Escanor,GEEK,22,1.05,54,2.57,53,2.52,1.39,12%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Iy4knu,ONIC,109,3.03,67,1.86,156,4.33,3.96,25%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Dlarskie,ONIC,97,2.69,72,2.0,169,4.69,3.69,23%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Jaymeister,ONIC,36,2.12,47,2.76,114,6.71,3.19,11%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Basic,ONIC,25,2.27,24,2.18,47,4.27,3.0,31%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Baloyskie,ONIC,85,2.83,93,3.1,221,7.37,3.29,17%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Toshi,SGD,80,3.20,49,1.96,125,5.0,4.18,25%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Kenji,SGD,40,1.60,63,2.52,167,6.68,3.29,13%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Heath,SGD,68,2.72,56,2.24,184,7.36,4.5,12%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Crypzu,SGD,12,1.20,23,2.3,26,2.6,1.65,23%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Lembot,STI,36,2.00,55,3.06,35,1.94,1.29,30%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Nicssu,STI,14,0.78,47,2.61,38,2.11,1.11,20%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,RGP,STI,3,0.75,17,4.25,9,2.25,0.71,5%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Killuash,SS,51,1.76,77,2.66,144,4.97,2.53,15%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Rafflesia,SS,45,1.50,73,2.43,233,7.77,3.81,6%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Jaypee,SS,158,5.27,61,2.03,162,5.4,5.25,36%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Fuzaken,SS,1,0.33,12,4.0,23,7.67,2.0,-,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Unseen,ULVL,29,1.53,55,2.89,95,5.0,2.25,12%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Chuuu,ULVL,80,3.81,52,2.48,77,3.67,3.02,39%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,Deb,ULVL,26,1.24,87,4.14,107,5.1,1.53,12%,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,S3cret,ULVL,18,1.50,37,3.08,47,3.92,1.76,19%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Ribo,BREN,101,2.52,49,1.23,272,6.80,7.61,16.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Pheww,BREN,120,3.00,121,3.02,305,7.62,3.51,12.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,KarlTzy,BREN,233,5.83,69,1.73,243,6.08,6.90,34.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Lusty,BREN,55,1.45,103,2.71,294,7.74,3.39,9.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,FlapTzy,BREN,136,3.40,94,2.35,197,4.92,3.54,29.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Ejhay,BREN,5,2.50,7,3.50,14,7.00,2.71,14.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,OhMyV33NUS,ONIC,89,2.12,112,2.67,303,7.21,3.50,14.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Wise,ONIC,168,4.54,69,1.86,200,5.41,5.33,26.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Iy4knu,ONIC,129,3.07,106,2.52,196,4.67,3.07,28.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Dlarskie,ONIC,129,3.07,91,2.17,233,5.55,3.98,23.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Jaymeister,ONIC,74,1.76,170,4.05,283,6.74,2.10,10.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Basic,ONIC,21,4.20,12,2.40,30,6.00,4.25,19.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Chester,NXPE,50,1.52,133,4.03,196,5.94,1.85,11.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,H2wo,NXPE,170,5.15,61,1.85,164,4.97,5.48,31.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Renejay,NXPE,99,3.00,83,2.52,119,3.61,2.63,31.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Mb,NXPE,78,2.36,81,2.45,148,4.48,2.79,17.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,YAWI,NXPE,35,1.06,105,3.18,236,7.15,2.58,4.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,JIMNEST,NXPE,-,-,-,-,-,-,-,-,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,S3cret,BNK,47,1.81,88,3.38,48,1.85,1.08,30.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Chuuu,BNK,66,2.36,62,2.21,62,2.21,2.06,30.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Unseen,BNK,20,1.05,60,3.16,62,3.26,1.37,14.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Crypzu,BNK,17,0.77,66,3.00,82,3.73,1.50,8.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Fuzaken,BNK,3,0.18,62,3.65,45,2.65,0.77,2.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Aaronqt,BNK,29,1.04,85,3.04,66,2.36,1.12,17.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,DEX STAR,BLCK,56,1.81,61,1.97,204,6.58,4.26,10.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,KIL LER,BLCK,8,1.60,14,2.80,14,2.80,1.57,23.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Kairi.,BLCK,168,4.67,66,1.83,153,4.25,4.86,39.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Aqua,BLCK,91,2.53,58,1.61,161,4.47,4.34,21.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,EDWARD,BLCK,84,2.33,66,1.83,179,4.97,3.98,20.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Eson,BLCK,44,1.22,92,2.56,245,6.81,3.14,7.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,ImbaDeejay,CIG,86,2.39,132,3.67,245,6.81,2.51,12.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,RHEA,CIG,104,2.89,101,2.81,157,4.36,2.58,28.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,tsujin,CIG,90,2.50,126,3.50,170,4.72,2.06,20.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Bensanity,CIG,64,1.78,147,4.08,253,7.03,2.16,10.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Hadess,CIG,181,5.03,90,2.50,199,5.53,4.22,30.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Kap Wan,BSB,23,0.88,121,4.65,160,6.15,1.51,7.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Trebor,BSB,46,1.77,127,4.88,166,6.38,1.67,8.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Wilson,BSB,71,2.96,83,3.46,90,3.75,1.94,32.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Shaider,BSB,8,0.80,38,3.80,29,2.90,0.97,22.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Ana.,BSB,68,2.43,112,4.00,121,4.32,1.69,19.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Drixx,BSB,123,4.73,57,2.19,125,4.81,4.35,35.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Rafflesia,ECHO,43,1.26,134,3.94,245,7.21,2.15,7.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Kielvj,ECHO,79,2.93,61,2.26,94,3.48,2.84,30.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Killuash,ECHO,69,2.03,91,2.68,138,4.06,2.27,18.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Baloyskie,ECHO,106,3.12,98,2.88,186,5.47,2.98,22.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Jaypee,ECHO,155,4.70,74,2.24,174,5.27,4.45,27.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Renzio,ECHO,12,1.71,9,1.29,46,6.57,6.44,16.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,E2MAX,EXE,127,2.89,165,3.75,277,6.30,2.45,17.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Bennyqt,EXE,152,3.45,121,2.75,183,4.16,2.77,29.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Ch4knu,EXE,57,1.30,164,3.73,303,6.89,2.20,7.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,S4gitnu,EXE,101,2.46,96,2.34,188,4.59,3.01,19.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Hatred,EXE,197,4.48,99,2.25,218,4.95,4.19,27.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Z4pnu,EXE,9,3.00,13,4.33,12,4.00,1.62,29.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Kenji,OMG,11,1.57,9,1.29,36,5.14,5.22,15.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Heath,OMG,68,1.51,98,2.18,293,6.51,3.68,9.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Hadjizy,OMG,233,5.18,45,1.00,194,4.31,9.49,42.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,Toshi,OMG,93,2.16,83,1.93,239,5.56,4.00,14.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,YellyHaze,OMG,97,2.16,83,1.84,281,6.24,4.55,15.00%,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,KurtTzy,OMG,84,2.10,63,1.57,166,4.15,3.97,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Iy4knu,ONIC,81,2.79,91,3.14,128,4.41,2.30,15.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Dlarskie,ONIC,89,2.47,101,2.81,194,5.39,2.80,17.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Jaymeister,ONIC,46,1.28,104,2.89,293,8.14,3.26,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Hatred,ONIC,189,5.25,87,2.42,177,4.92,4.21,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Kairi.,ONIC,121,3.36,70,1.94,231,6.42,5.03,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Markyyyyy,ONIC,16,2.29,10,1.43,28,4.00,4.40,20.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Ribo,BREN,130,2.77,86,1.83,201,4.28,3.85,17.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Pheww,BREN,106,2.26,138,2.94,297,6.32,2.92,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,KarlTzy,BREN,216,4.60,108,2.30,213,4.53,3.97,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Lusty,BREN,58,1.23,138,2.94,315,6.70,2.70,20.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,FlapTzy,BREN,120,2.55,128,2.72,238,5.06,2.80,18.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Ejhay,BREN,-,-,-,-,-,-,-,-,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Rafflesia,ECHO,41,2.05,44,2.20,115,5.75,3.55,17.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Killuash,ECHO,65,2.10,81,2.61,116,3.74,2.23,16.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Baloyskie,ECHO,133,2.96,169,3.76,281,6.24,2.45,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Jaypee,ECHO,79,1.76,163,3.62,331,7.36,2.52,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Bennyqt,ECHO,159,3.53,95,2.11,201,4.47,3.79,19.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Hadess,ECHO,165,4.23,89,2.28,216,5.54,4.28,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,ImbaDeejay,CIG,30,1.25,77,3.21,160,6.67,2.47,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,RHEA,CIG,56,1.87,110,3.67,108,3.60,1.49,15.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Bensanity,CIG,10,1.00,43,4.30,52,5.20,1.44,25.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Aqua,CIG,95,3.06,82,2.65,125,4.03,2.68,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Kekedot,CIG,40,1.38,107,3.69,140,4.83,1.68,20.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,JANUS,CIG,101,3.26,94,3.03,116,3.74,2.31,21.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Light,TNC,33,0.85,134,3.44,289,7.41,2.40,20.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Chuuu,TNC,173,4.44,84,2.15,210,5.38,4.56,25.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,P-GOD,TNC,137,3.51,110,2.82,215,5.51,3.20,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,3MarTzy,TNC,118,3.03,103,2.64,175,4.49,2.84,17.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Kousei,TNC,103,2.64,89,2.28,187,4.79,3.26,16.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Moht,TNC,-,-,-,-,-,-,-,-,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Lift,TNC,-,-,-,-,-,-,-,-,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,DEX STAR,BLCK,-,-,-,-,-,-,-,-,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,EDWARD,BLCK,148,3.08,85,1.77,194,4.04,4.02,15.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Eson,BLCK,43,0.90,161,3.35,416,8.67,2.85,20.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,OhMyV33NUS,BLCK,84,1.75,94,1.96,392,8.17,5.06,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Wise,BLCK,209,4.35,88,1.83,266,5.54,5.40,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,OHEB,BLCK,178,3.71,84,1.75,261,5.44,5.23,20.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,E2MAX,EXE,163,2.76,168,2.85,368,6.24,3.16,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Ch4knu,EXE,47,0.80,196,3.32,429,7.27,2.43,21.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Z4pnu,EXE,-,-,-,-,-,-,-,-,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Renzio,EXE,102,1.73,168,2.85,269,4.56,2.21,15.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Kielvj,EXE,208,3.53,122,2.07,278,4.71,3.98,19.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Kelra,EXE,210,3.56,144,2.44,259,4.39,3.26,21.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Kenji,OMG,63,1.80,88,2.51,167,4.77,2.61,15.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Heath,OMG,32,1.39,66,2.87,172,7.48,3.09,21.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Hadjizy,OMG,172,4.41,72,1.85,192,4.92,5.06,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Toshi,OMG,143,3.67,76,1.95,166,4.26,4.07,17.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,YellyHaze,OMG,19,0.95,98,4.90,163,8.15,1.86,22.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,KurtTzy,OMG,111,2.85,84,2.15,261,6.69,4.43,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,H2wo,NXPE,201,5.29,102,2.68,198,5.21,3.91,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Renejay,NXPE,112,3.03,105,2.84,186,5.03,2.84,18.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,YAWI,NXPE,60,1.58,135,3.55,282,7.42,2.53,20.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Exort,NXPE,103,3.32,97,3.13,207,6.68,3.20,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,LanceCy,NXPE,24,3.00,26,3.25,56,7.00,3.08,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Dogie,NXPE,-,-,-,-,-,-,-,-,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Jeymz,NXPE,97,2.55,95,2.50,159,4.18,2.69,15.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Yakou,LPE,7,1.00,25,3.57,28,4.00,1.40,21.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Arvs,LPE,69,2.56,104,3.85,128,4.74,1.89,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Ryota.,LPE,63,2.10,70,2.33,87,2.90,2.14,15.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Beemo,LPE,43,1.43,125,4.17,160,5.33,1.62,23.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,JAKE THE DOG,LPE,46,1.53,87,2.90,107,3.57,1.76,16.00%,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,Aspect,LPE,93,3.58,72,2.77,96,3.69,2.62,24.00%,,,,,,,
8,https://ph-mpl.com/s8/data,official_data_page,Ribo,BREN,62,2.00,83,2.68,139,4.48,2.42,19.00%,,,,,,,
