rank,player,role,last_team,seasons,last_season,games_played,wins,win_rate,elo
1,KarlTzy,Jungler,Team Liquid PH,"S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17",17,244,164,67.2,1867.6
2,Sanji,Middle,Team Liquid PH,"S10, S11, S12, S13, S14, S15, S16, S17",17,136,99,72.8,1793.1
3,Sanford,EXP Lane,Team Liquid PH,"S8, S10, S11, S12, S13, S14, S15, S16, S17",17,153,107,69.9,1756.8
4,Jaypee,Roamer,Team Liquid PH,"S2, S3, S4, S5, S6, S7, S10, S12, S13, S14, S15, S16, S17",17,157,112,71.3,1710.5
5,Kyle,Jungler,Team Falcons PH,"S10, S11, S12, S13, S14, S15, S16, S17",17,132,82,62.1,1698.4
6,K1NGKONG,Jungler,ONIC PH,"S11, S12, S14, S15, S16, S17",17,93,54,58.1,1648.1
7,Super Frince,Middle,ONIC PH,"S9, S10, S12, S13, S14, S15, S16, S17",17,127,80,63.0,1644.5
8,FlapTzy,EXP Lane,Team Falcons PH,"S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17",17,191,115,60.2,1637.7
9,Super Marco,Gold Lane,Team Falcons PH,"S9, S10, S11, S12, S13, S14, S15, S16, S17",17,146,87,59.6,1637.4
10,AeronnShikii,Gold Lane,Team Liquid PH,S17,17,14,13,92.9,1627.0
11,Dai Ki,Gold Lane,Team Liquid PH,S17,17,14,13,92.9,1627.0
12,Teddyqt,Gold Lane,Team Liquid PH,S17,17,14,13,92.9,1627.0
13,Owgwen,Roamer,Team Falcons PH,"S10, S11, S12, S13, S14, S15, S16, S17",17,132,82,62.1,1619.0
14,Kirk,EXP Lane,ONIC PH,"S11, S13, S14, S15, S16, S17",17,98,63,64.3,1611.5
15,Santi Sucre,Roamer,Team Liquid PH,S17,17,14,13,92.9,1608.8
16,Ferdz,EXP Lane,Team Falcons PH,"S16, S17",17,29,17,58.6,1607.0
17,Oheb,Gold Lane,Team Liquid PH,"S7, S8, S9, S10, S12, S13, S14, S15, S16",16,156,100,64.1,1605.1
18,Hadji,Middle,Team Falcons PH,"S8, S9, S10, S12, S13, S14, S15, S16, S17",17,146,77,52.7,1601.9
19,Brusko,Roamer,ONIC PH,"S12, S14, S15, S16, S17",17,79,54,68.4,1601.7
20,Perkz,Roamer,Omega Esports,"S10, S12, S13, S14, S15, S16, S17",17,131,73,55.7,1578.6
21,Kelra,Gold Lane,ONIC PH,"S7, S8, S9, S10, S11, S12, S14, S15, S16",16,151,86,57.0,1577.6
22,Ar Sy,,Team Liquid PH,S15,15,18,15,83.3,1562.0
23,YukTzy,Gold Lane,Team Liquid PH,S15,15,18,15,83.3,1557.8
24,Demonkite,Jungler,Aurora,"S8, S9, S10, S13, S14, S15, S16, S17",17,133,85,63.9,1547.6
25,Edward,EXP Lane,Aurora,"S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17",17,209,132,63.2,1539.2
26,Savero,Gold Lane,ONIC PH,S17,17,14,9,64.3,1537.6
27,Yue,Middle,Aurora,"S11, S12, S13, S14, S15, S16, S17",17,121,74,61.2,1535.5
28,Tictac,,Team Liquid PH,S16,16,19,13,68.4,1534.4
29,Renejay,Roamer,Aurora,"S6, S7, S8, S9, S10, S11, S12, S14, S15",15,144,72,50.0,1532.4
30,Pandora,Flex,Team Falcons PH,"S9, S10, S11, S12, S13, S14, S15",15,117,70,59.8,1523.9
31,SpiderMilez,Roamer,ONIC PH,"S12, S13, S14",14,46,28,60.9,1522.9
32,Hate,Flex,ONIC PH,"S4, S5, S6, S7, S8, S15, S16",16,118,74,62.7,1517.6
33,Ryota,EXP Lane,ONIC PH,"S7, S9, S10, S11, S12, S13, S14, S16, S17",17,134,62,46.3,1514.5
34,Calad,Flex,Aurora,"S12, S13, S15, S16, S17",17,84,52,61.9,1511.8
35,Domengkite,Gold Lane,Aurora,"S11, S12, S13, S14, S15, S16, S17",17,109,59,54.1,1509.1
36,Owl,Gold Lane,Twisted Minds PH,"S11, S12, S17",17,51,28,54.9,1505.4
37,Vinjaz,Flex,TNC Pro Team,S16,16,18,7,38.9,1504.3
38,Tracy,Roamer,Twisted Minds PH,S17,17,14,6,42.9,1504.2
39,Ribo,Flex,Omega Esports,"S1, S2, S3, S4, S5, S6, S7, S8, S12, S13, S14",14,148,92,62.2,1503.7
40,EJJJ,EXP Lane,Team Liquid PH,S13,13,17,12,70.6,1502.7
41,Panda,,RSG PH,"S2, S3, S4, S7, S8, S9, S10, S13",13,111,60,54.1,1502.1
42,Dalyot,,RSG PH,S13,13,17,10,58.8,1501.7
43,Bam,,ONIC PH,"S12, S13",13,30,16,53.3,1501.7
44,Jem,EXP Lane,ONIC PH,"S12, S13",13,30,16,53.3,1501.6
45,BOSS A,Gold Lane,ONIC PH,"S11, S12, S13",13,45,22,48.9,1501.4
46,Rapidoot,Roamer,ONIC PH,"S9, S10, S12, S13",13,62,32,51.6,1501.2
47,RTZY,Middle,RSG PH,"S7, S8, S12, S13",13,63,31,49.2,1501.1
48,Eson,Roamer,Blacklist Intl.,"S1, S2, S3, S4, S6, S7, S8, S9, S10, S13",13,141,88,62.4,1500.7
49,Trebor,,Team Falcons PH,"S5, S6, S15",15,40,14,35.0,1500.6
50,Rindo,Jungler,Blacklist Intl.,S12,12,19,11,57.9,1500.4
51,Eyon,Middle,Blacklist Intl.,S12,12,19,11,57.9,1500.3
52,Dominic,EXP Lane,Blacklist Intl.,S12,12,19,11,57.9,1500.3
53,Mumukid,Middle,AP.Bren,S12,12,17,10,58.8,1500.3
54,Wise,Jungler,Blacklist Intl.,"S4, S5, S7, S8, S10, S11",11,95,74,77.9,1500.3
55,OhMyV33NUS,Roamer,Blacklist Intl.,"S7, S8, S10, S11",11,69,54,78.3,1500.2
56,EMANN,Gold Lane,RSG PH,"S8, S9, S10, S11, S12",12,85,49,57.6,1500.2
57,Super Red,Gold Lane,Blacklist Intl.,S11,11,18,11,61.1,1500.1
58,Archer,Gold Lane,Blacklist Intl.,S11,11,18,11,61.1,1500.1
59,Goyong,Middle,Minana EVOS,S12,12,14,6,42.9,1500.1
60,Boyet,Jungler,Minana EVOS,S12,12,14,6,42.9,1500.1
61,Ducky,,AP.Bren,"S7, S10, S11",11,49,30,61.2,1500.1
62,Bitoy,,Minana EVOS,"S1, S12",12,19,6,31.6,1500.1
63,Jian,Gold Lane,Team Liquid PH,S11,11,18,14,77.8,1500.1
64,Vrendon Lin,,AP.Bren,"S9, S11",11,33,21,63.6,1500.1
65,Drixx,Jungler,BSB,S6,6,12,1,8.3,1500.0
66,YNot,,Omega Esports,S7,7,15,6,40.0,1500.0
67,Vhen,Gold Lane,Invictus Godz,S1,1,10,4,40.0,1500.0
68,Yeb,,Cignal Ultra,"S6, S7",7,26,4,15.4,1500.0
69,Bensanity,Roamer,Cignal Ultra,"S6, S7",7,26,4,15.4,1500.0
70,Serein,,Cignal Ultra,S6,6,13,4,30.8,1500.0
71,Tsujin,Gold Lane,Cignal Ultra,S6,6,13,4,30.8,1500.0
72,ImbaDeejay,,Minana EVOS,"S6, S7, S8, S12",12,54,14,25.9,1500.0
73,Hadess,Jungler,Team Liquid PH,"S6, S7, S8, S9",9,59,28,47.5,1500.0
74,Ana,Gold Lane,BSB,S6,6,12,1,8.3,1500.0
75,Unseen,Middle,BnK Blufire,"S5, S6",6,21,2,9.5,1500.0
76,Chester,Middle,Nexplay EVOS,S6,6,12,5,41.7,1500.0
77,Mb,EXP Lane,Nexplay EVOS,S6,6,12,5,41.7,1500.0
78,Arcadia,,Team Liquid PH,"S5, S6, S7, S8, S9",9,59,34,57.6,1500.0
79,Basic,Middle,ULVL,S5,5,10,2,20.0,1500.0
80,Deb,Roamer,ULVL,S5,5,10,2,20.0,1500.0
81,Riddler,Middle,Blacklist Intl.,S5,5,11,5,45.5,1500.0
82,Kap Wan,Roamer,BSB,"S5, S6",6,22,4,18.2,1500.0
83,Wilson,EXP Lane,BSB,"S5, S6",6,22,4,18.2,1500.0
84,Jeraxnu,Middle,BSB,S5,5,10,3,30.0,1500.0
85,Sman,Roamer,BSB,S5,5,10,3,30.0,1500.0
86,Nina,S,SGD Omega,S5,5,11,7,63.6,1500.0
87,Hadjizy,Jungler,Omega Esports,"S5, S6, S7",7,41,24,58.5,1500.0
88,Markyyyyy,Gold Lane,ONIC PH,"S6, S7, S8",8,46,27,58.7,1500.0
89,Wolf,,ONIC PH,"S6, S7, S8",8,46,27,58.7,1500.0
90,Kairi,Middle,ONIC PH,"S6, S7, S8",8,58,34,58.6,1500.0
91,Aaronqt,Middle,Team Liquid PH,"S6, S7, S8, S9",9,54,23,42.6,1500.0
92,Jimnest,Roamer,Nexplay EVOS,S6,6,12,5,41.7,1500.0
93,Toshi,Gold Lane,TNC Pro Team,"S7, S8",8,29,10,34.5,1500.0
94,Kirito,EXP Lane,Invictus Godz,S1,1,10,4,40.0,1500.0
95,Moht,Roamer,Work-Auster Force,S7,7,15,9,60.0,1500.0
96,Lift,,TNC Pro Team,"S7, S8",8,29,13,44.8,1500.0
97,KEVIER,Jungler,Blacklist Intl.,"S9, S10",10,31,15,48.4,1500.0
98,Choox,Jungler,ONIC PH,"S9, S10",10,32,16,50.0,1500.0
99,Jeff,,ONIC PH,"S9, S10",10,32,16,50.0,1500.0
100,Amethyst,,Omega Esports,"S9, S10",10,34,17,50.0,1500.0
101,KingSalman,Flex,TNC Pro Team,"S9, S10",10,31,12,38.7,1500.0
102,URESHIII,EXP Lane,Nexplay EVOS,S9,9,15,6,40.0,1500.0
103,Elpizo,Roamer,Nexplay EVOS,"S9, S10",10,29,8,27.6,1500.0
104,CADENZA,Roamer,Nexplay EVOS,S9,9,15,6,40.0,1500.0
105,Donut,Gold Lane,Nexplay EVOS,"S9, S10",10,29,8,27.6,1500.0
106,Joy Boy,Roamer,AP.Bren,"S9, S10",10,31,15,48.4,1500.0
107,Mikko,Roamer,Omega Esports,"S10, S11",11,30,14,46.7,1500.0
108,Hjidoue,,Omega Esports,S10,10,15,8,53.3,1500.0
109,Micophobia,Roamer,Nexplay EVOS,S10,10,14,2,14.3,1500.0
110,Pancake,Roamer,ONIC PH,S11,11,15,6,40.0,1500.0
111,Frinceee,Middle,ONIC PH,S11,11,15,6,40.0,1500.0
112,Wrecker,Middle,RSG PH,"S8, S9, S10",10,50,32,64.0,1500.0
113,Duckeyyy,,AP.Bren,"S5, S6, S8, S9",9,55,33,60.0,1500.0
114,Hesa,Gold Lane,Nexplay EVOS,"S8, S9",9,32,14,43.8,1500.0
115,Arvs,Middle,PlayBook Esports,S7,7,13,3,23.1,1500.0
116,Invoker,EXP Lane,Team Liquid PH,"S7, S8",8,28,15,53.6,1500.0
117,Aspect,Jungler,Team Liquid PH,"S7, S8",8,41,18,43.9,1500.0
118,Jaymeister,Roamer,Team Liquid PH,"S7, S8",8,28,15,53.6,1500.0
119,Flysolo,Roamer,Team Liquid PH,"S7, S8",8,28,15,53.6,1500.0
120,Rk3,Middle,Team Liquid PH,"S7, S8, S9",9,43,23,53.5,1500.0
121,Dogie,Roamer,Nexplay EVOS,"S7, S8, S9, S10",10,60,22,36.7,1500.0
122,Jake The Dog,Gold Lane,PlayBook Esports,S7,7,13,3,23.1,1500.0
123,Midnight,,Nexplay EVOS,S8,8,17,8,47.1,1500.0
124,Dex Star,Middle,Blacklist Intl.,"S7, S8, S9, S10",10,65,46,70.8,1500.0
125,Janus,Jungler,Cignal Ultra,S7,7,13,0,0.0,1500.0
126,Allidap,EXP Lane,Omega Esports,"S8, S9",9,37,16,43.2,1500.0
127,Hito,Gold Lane,Omega Esports,S8,8,18,7,38.9,1500.0
128,Malik,Jungler,AP.Bren,"S8, S9",9,28,10,35.7,1500.0
129,Rimuru,Jungler,AP.Bren,S8,8,14,5,35.7,1500.0
130,Lastii,Roamer,AP.Bren,S5,5,12,9,75.0,1500.0
131,Rhea,EXP Lane,Cignal Ultra,"S6, S7",7,26,4,15.4,1500.0
132,Kil Ler,EXP Lane,Blacklist Intl.,"S4, S5, S6",6,33,15,45.5,1500.0
133,Lex,EXP Lane,SGD Omega,"S2, S3",3,23,12,52.2,1500.0
134,Jana,Middle,Digital Devils No Limit,S1,1,5,0,0.0,1500.0
135,Jieo,Roamer,Geek Fam PH,"S1, S4, S5",5,25,5,20.0,1500.0
136,S4ngmu,EXP Lane,Obsidian Raven,S1,1,6,1,16.7,1500.0
137,Alkaem,Gold Lane,Obsidian Raven,S1,1,6,1,16.7,1500.0
138,S4gitnu,EXP Lane,Nexplay EVOS,"S1, S4, S5, S6, S9",9,56,24,42.9,1500.0
139,Burning,Roamer,Obsidian Raven,S1,1,6,1,16.7,1500.0
140,Basha,Roamer,Obsidian Raven,S1,1,6,1,16.7,1500.0
141,Jeo,S,Obsidian Gaming,S1,1,10,7,70.0,1500.0
142,Had ji,S,EVOS Esports PH,S4,4,10,3,30.0,1500.0
143,Dian,Middle,Omega Esports,"S1, S3, S4, S8",8,50,26,52.0,1500.0
144,Pakbet,,Omega Esports,"S1, S2, S3, S4, S7, S8, S9, S10, S11",11,128,64,50.0,1500.0
145,JeffQt4ever,,BnK Blufire,"S1, S2, S3, S4, S6",6,62,27,43.5,1500.0
146,YoLo,,Nexplay EVOS,"S1, S2, S5, S6",6,45,25,55.6,1500.0
147,Dale,,Team Liquid PH,"S2, S3, S5, S6, S7, S8",8,77,45,58.4,1500.0
148,Nick,Jungler,Finesse Solid,S2,2,13,8,61.5,1500.0
149,Chico,S,No Limit,"S1, S3",3,16,6,37.5,1500.0
150,Levi,Gold Lane,SGD Omega,"S2, S3",3,23,12,52.2,1500.0
151,Boo,Roamer,Finesse Solid,S2,2,13,8,61.5,1500.0
152,Wreck,S,White Rascals,S2,2,9,0,0.0,1500.0
153,Kenzu,EXP Lane,White Rascals,S2,2,9,0,0.0,1500.0
154,Snow,Jungler,White Rascals,S2,2,9,0,0.0,1500.0
155,Ramen,Middle,White Rascals,S2,2,9,0,0.0,1500.0
156,Naith,Gold Lane,White Rascals,S2,2,9,0,0.0,1500.0
157,Chalk,Roamer,White Rascals,S2,2,9,0,0.0,1500.0
158,Bon Chan,,Blacklist Intl.,"S2, S3, S4, S5, S6, S7, S8, S9, S10",10,122,73,59.8,1500.0
159,Dexter,Middle,Blacklist Intl.,"S2, S3, S4, S5, S6",6,57,27,47.4,1500.0
160,Hon Da,Roamer,Blacklist Intl.,"S2, S3, S4, S5",5,45,20,44.4,1500.0
161,Ar Chi,Middle,EVOS Esports PH,"S2, S3",3,24,12,50.0,1500.0
162,Had Ji,S,EVOS Esports PH,"S2, S3",3,24,12,50.0,1500.0
163,Ge Dd,Roamer,SxC Imbalance,S2,2,12,6,50.0,1500.0
164,Danielle,Gold Lane,Digital Devils No Limit,S1,1,5,0,0.0,1500.0
165,Tets,Roamer,Cignal Ultra,"S1, S2, S3, S4",4,46,26,56.5,1500.0
166,2yeon,S,HappyFeet,S2,2,9,3,33.3,1500.0
167,Pauu,EXP Lane,Ownage,"S1, S2, S3",3,27,10,37.0,1500.0
168,Vmpire,Middle,Invictus Godz,S1,1,10,4,40.0,1500.0
169,Vladimir,Roamer,Invictus Godz,S1,1,10,4,40.0,1500.0
